Roll(deg),Pitch(deg),Yaw(deg),Alpha_P(deg),Alpha_Y(deg)
0.000000,2.412721,2.412721,101.034000,101.034000
0.000000,2.419344,2.419344,101.016000,101.016000
0.000000,2.425970,2.425970,100.998000,100.998000
0.000000,2.432600,2.432600,100.980000,100.980000
0.000000,2.439234,2.439234,100.962000,100.962000
0.000000,2.445872,2.445872,100.944000,100.944000
0.000000,2.452513,2.452513,100.926000,100.926000
0.000000,2.459157,2.459157,100.908000,100.908000
0.000000,2.465806,2.465806,100.890000,100.890000
0.000000,2.472458,2.472458,100.872000,100.872000
0.000000,2.479114,2.479114,100.854000,100.854000
0.000000,2.485773,2.485773,100.836000,100.836000
0.000000,2.492436,2.492436,100.818000,100.818000
0.000000,2.499103,2.499103,100.800000,100.800000
0.000000,2.505774,2.505774,100.782000,100.782000
0.000000,2.512448,2.512448,100.764000,100.764000
0.000000,2.519126,2.519126,100.746000,100.746000
0.000000,2.525807,2.525807,100.728000,100.728000
0.000000,2.532493,2.532493,100.710000,100.710000
0.000000,2.539182,2.539182,100.692000,100.692000
0.000000,2.545874,2.545874,100.674000,100.674000
0.000000,2.552570,2.552570,100.656000,100.656000
0.000000,2.559270,2.559270,100.638000,100.638000
0.000000,2.565974,2.565974,100.620000,100.620000
0.000000,2.572681,2.572681,100.602000,100.602000
0.000000,2.579392,2.579392,100.584000,100.584000
0.000000,2.586107,2.586107,100.566000,100.566000
0.000000,2.592825,2.592825,100.548000,100.548000
0.000000,2.599547,2.599547,100.530000,100.530000
0.000000,2.606272,2.606272,100.512000,100.512000
0.000000,2.613002,2.613002,100.494000,100.494000
0.000000,2.619734,2.619734,100.476000,100.476000
0.000000,2.626471,2.626471,100.458000,100.458000
0.000000,2.633211,2.633211,100.440000,100.440000
0.000000,2.639955,2.639955,100.422000,100.422000
0.000000,2.646703,2.646703,100.404000,100.404000
0.000000,2.653454,2.653454,100.386000,100.386000
0.000000,2.660209,2.660209,100.368000,100.368000
0.000000,2.666967,2.666967,100.350000,100.350000
0.000000,2.673729,2.673729,100.332000,100.332000
0.000000,2.680495,2.680495,100.314000,100.314000
0.000000,2.687265,2.687265,100.296000,100.296000
0.000000,2.694038,2.694038,100.278000,100.278000
0.000000,2.700815,2.700815,100.260000,100.260000
0.000000,2.707595,2.707595,100.242000,100.242000
0.000000,2.714379,2.714379,100.224000,100.224000
0.000000,2.721167,2.721167,100.206000,100.206000
0.000000,2.727958,2.727958,100.188000,100.188000
0.000000,2.734753,2.734753,100.170000,100.170000
0.000000,2.741552,2.741552,100.152000,100.152000
0.000000,2.748354,2.748354,100.134000,100.134000
0.000000,2.755160,2.755160,100.116000,100.116000
0.000000,2.761970,2.761970,100.098000,100.098000
0.000000,2.768783,2.768783,100.080000,100.080000
0.000000,2.775600,2.775600,100.062000,100.062000
0.000000,2.782420,2.782420,100.044000,100.044000
0.000000,2.789244,2.789244,100.026000,100.026000
